trial,config_hash,score,accuracy,f1,log_loss,duration,timestamp
36,"{""depth"": 10, ""eval_metric"": ""Accuracy"", ""iterations"": 835, ""l2_leaf_reg"": 0.0019906021992182246, ""learning_rate"": 0.09337630252483814, ""loss_function"": ""MultiClass"", ""random_strength"": 0.007807286755819994, ""task_type"": ""GPU"", ""verbose"": 0}",-1.3077806465088806,0.7463374433195147,0.7079353949368438,18.894902263174814,1574.7816891670227,2025-05-31 00:52:22
37,"{""depth"": 9, ""eval_metric"": ""Accuracy"", ""iterations"": 920, ""l2_leaf_reg"": 0.14013905471666904, ""learning_rate"": 0.19880148270511105, ""loss_function"": ""MultiClass"", ""random_strength"": 0.08296095021960058, ""task_type"": ""GPU"", ""verbose"": 0}",-0.5589074494232792,0.7292207654297014,0.6842528941387268,11.242969781800493,1540.1343877315521,2025-05-31 01:18:04
38,"{""depth"": 7, ""eval_metric"": ""Accuracy"", ""iterations"": 706, ""l2_leaf_reg"": 0.0046749145618018885, ""learning_rate"": 0.12172497496989548, ""loss_function"": ""MultiClass"", ""random_strength"": 0.46083838157397977, ""task_type"": ""GPU"", ""verbose"": 0}",-0.14201090936169738,0.721152008227505,0.6761426817724846,7.009288717278438,1157.8610281944275,2025-05-31 01:37:26
39,"{""depth"": 6, ""eval_metric"": ""Accuracy"", ""iterations"": 706, ""l2_leaf_reg"": 0.02386012058921394, ""learning_rate"": 0.05508336879298073, ""loss_function"": ""MultiClass"", ""random_strength"": 3.102978125226235, ""task_type"": ""GPU"", ""verbose"": 0}",-1.1633829380844125,0.7856391949696173,0.7553989756850841,17.79845113473076,1142.6835041046143,2025-05-31 01:56:31
40,"{""depth"": 7, ""eval_metric"": ""Accuracy"", ""iterations"": 649, ""l2_leaf_reg"": 0.009429936724804964, ""learning_rate"": 0.22417704568473326, ""loss_function"": ""MultiClass"", ""random_strength"": 0.34267065498415333, ""task_type"": ""GPU"", ""verbose"": 0}",-0.6943562340068546,0.721152008227505,0.6761426817724846,12.532742142592582,959.2104597091675,2025-05-31 02:12:33
41,"{""depth"": 8, ""eval_metric"": ""Accuracy"", ""iterations"": 556, ""l2_leaf_reg"": 0.004449331839434276, ""learning_rate"": 0.12370607964510193, ""loss_function"": ""MultiClass"", ""random_strength"": 1.8100653573116459, ""task_type"": ""GPU"", ""verbose"": 0}",-0.15340192869122682,0.7225444035520685,0.6768633591735587,7.131651460083063,891.052533864975,2025-05-31 02:27:27
42,"{""depth"": 8, ""eval_metric"": ""Accuracy"", ""iterations"": 558, ""l2_leaf_reg"": 0.0052715383114915245, ""learning_rate"": 0.1007501508463057, ""loss_function"": ""MultiClass"", ""random_strength"": 1.6853419023956613, ""task_type"": ""GPU"", ""verbose"": 0}",-1.3511286326405403,0.7228180161017891,0.6921773975918569,19.171282734882556,881.1347482204437,2025-05-31 02:42:09
43,"{""depth"": 7, ""eval_metric"": ""Accuracy"", ""iterations"": 703, ""l2_leaf_reg"": 0.010589405876983102, ""learning_rate"": 0.08569618107941342, ""loss_function"": ""MultiClass"", ""random_strength"": 0.8812422652504481, ""task_type"": ""GPU"", ""verbose"": 0}",-0.8810616160789201,0.7383512012111341,0.6985489227102218,14.558230350602605,1022.3359982967377,2025-05-31 02:59:14
44,"{""depth"": 9, ""eval_metric"": ""Accuracy"", ""iterations"": 535, ""l2_leaf_reg"": 0.0020814497272096852, ""learning_rate"": 0.11495420218287276, ""loss_function"": ""MultiClass"", ""random_strength"": 1.54820385766491, ""task_type"": ""GPU"", ""verbose"": 0}",-0.10914761537335951,0.7292207654297014,0.6842528941387268,6.745371898739657,903.5608294010162,2025-05-31 03:14:19
45,"{""depth"": 10, ""eval_metric"": ""Accuracy"", ""iterations"": 529, ""l2_leaf_reg"": 0.00218203859761361, ""learning_rate"": 0.17469949482428015, ""loss_function"": ""MultiClass"", ""random_strength"": 4.618252803443394, ""task_type"": ""GPU"", ""verbose"": 0}",-0.4263964088066713,0.7371190539494467,0.6944300654698446,9.990161585113583,980.9983510971069,2025-05-31 03:30:43
